id,link,question,enabled
1,https://afiqket.github.io/capstone-charts/?chart=ia_commentary_july_2023,What percentage of applicants received a decision in under 6 months?,1
2,https://afiqket.github.io/capstone-charts/?chart=ia_commentary_july_2023,Which has a higher share: 1–1.5 years or 1.5–2 years?,1
3,https://afiqket.github.io/capstone-charts/?chart=percent_of_dc_workers_who_are_immigrants_by_occupation,Do low-wage jobs tend to have higher immigrant percentages than high-wage jobs?,1
4,https://afiqket.github.io/capstone-charts/?chart=percent_of_dc_workers_who_are_immigrants_by_occupation,Which occupation has an unexpectedly high immigrant percentage compared to its wage category?,1
5,https://afiqket.github.io/capstone-charts/?chart=how_many_members_of_the_us_military_have_died_in_each_war,How many deaths occurred in the World War II?,1
6,https://afiqket.github.io/capstone-charts/?chart=how_many_members_of_the_us_military_have_died_in_each_war,Which war had more deaths: Korean War or Vietnam War?,1
7,https://afiqket.github.io/capstone-charts/?chart=how_many_members_of_the_us_military_have_died_in_each_war,How has the number of deaths changed from early wars to modern wars?,1
8,https://afiqket.github.io/capstone-charts/?chart=malaysia_total_trade_with_world,What is Malaysia’s total trade (% of GDP) in 1990?,1
9,https://afiqket.github.io/capstone-charts/?chart=malaysia_total_trade_with_world,Was trade higher in 2000 or 2010?,1
10,https://afiqket.github.io/capstone-charts/?chart=traffic_citations,How does the percentage of speeding citations change over time in Q2?,1
11,https://afiqket.github.io/capstone-charts/?chart=traffic_citations,Which year in Q1 shows an unusually low number of total citations?,1
12,https://afiqket.github.io/capstone-charts/?chart=dublin_stats,What was the number of transfers out for Austria in 2017?,1
13,https://afiqket.github.io/capstone-charts/?chart=dublin_stats,How did Switzerland’s requests out change from 2012 to 2016?,1
14,https://afiqket.github.io/capstone-charts/?chart=dublin_stats,Is there a year where Switzerland’s transfers in suddenly increased significantly?,1
15,https://afiqket.github.io/capstone-charts/?chart=international_merchandise_trade_malaysia_and_asean,What is the total trade value (RM) between Malaysia and Indonesia?,1
16,https://afiqket.github.io/capstone-charts/?chart=international_merchandise_trade_malaysia_and_asean,Which country has higher trade value with Malaysia: Vietnam or Cambodia?,1
17,https://afiqket.github.io/capstone-charts/?chart=geography_of_educational_attainment_in_california,How does the pattern of percent change differ between inland states and coastal states?,1
18,https://afiqket.github.io/capstone-charts/?chart=geography_of_educational_attainment_in_california,Which state appears to be the strongest positive outlier on the map?,1
19,https://afiqket.github.io/capstone-charts/?chart=geography_of_educational_attainment_in_california,Which county has a higher percentage of bachelor’s degrees: San Francisco or San Diego (All adults)?,1
20,https://afiqket.github.io/capstone-charts/?chart=geography_of_educational_attainment_in_california,Which county has an unusually high percentage compared to others?,1
